UH_ID,PreferredLanguage,KinName,KinRelation,KinMobile,EscalationConsent,ConsentDate,OptOut
20240382,Hindi,SAVITA SARAP,Son,7263115497,NO,2024-06-27,NO
20240383,Marathi,GAJANAN KALAMKAR,Sister,6377468945,YES,2023-11-04,NO
20240384,Marathi,,,,NO,,NO
20240385,Marathi,BHAGWAN MAHALLE,Son,7959074926,NO,2024-02-15,NO
20240386,Marathi,BHAGWAN SHAMASKAR,Daughter,7520726234,NO,2024-07-16,NO
20240387,Marathi,RAJESH NADLIWALE,Brother,6890258257,YES,2024-12-26,NO
20240388,Hindi,MANGALA BHATKAR,Daughter-in-law,9014915028,YES,2025-02-03,NO
20240389,Marathi,MADHURI RAUT,Daughter-in-law,6963389999,YES,2025-06-24,NO
20240390,Marathi,,,,NO,,NO
20240391,Hindi,RAJESH SHAIKH,Brother,8771553904,YES,2025-06-04,NO
20240392,Marathi,MADHUKAR KHANDARE,Son,8872431558,YES,2025-03-08,NO
20240393,Marathi,SHOBHA DESHMUKH,Daughter,6128085470,NO,2024-07-24,NO
20240394,English,,,,NO,,NO
20240395,Marathi,MAHENDRA DHOTE,Daughter,6807892956,YES,2023-11-04,NO
20240396,Marathi,ARCHANA SHAIKH,Spouse,7394742677,YES,2025-06-14,NO
20240397,Marathi,VAISHALI THAKARE,Daughter-in-law,6370910049,YES,2024-05-17,NO
20240398,Marathi,KAVITA OBEROI,Daughter-in-law,8487535068,YES,2023-11-06,NO
20240399,Hindi,PAWAN WANKHADE,Brother,7996972473,YES,2024-05-28,NO
20240400,Marathi,KAVITA OBEROI,Spouse,7186662144,YES,2024-08-20,NO
20240401,Marathi,SAVITA BHATKAR,Spouse,7290386115,YES,2025-04-09,NO
20240402,Marathi,MANGALA OBEROI,Sister,9319534856,YES,2024-07-03,NO
20240403,Hindi,SUNANDA QURESHI,Sister,9640497741,YES,2024-12-05,NO
20240404,Marathi,CHHAYA SARAP,Sister,6098268212,YES,2024-10-10,NO
20240405,Marathi,BALKRISHNA PATHAN,Daughter-in-law,8660856067,YES,2024-12-03,NO
20240406,Marathi,NAMDEO TAYADE,Spouse,8259908130,YES,2025-04-11,NO
20240407,Marathi,,,,NO,,NO
20240408,Marathi,GAJANAN WANKHADE,Brother,7928490625,YES,2024-04-15,NO
20240409,Hindi,AMOL TAYADE,Daughter-in-law,6745819032,YES,2024-08-06,NO
20240410,Hindi,MADHURI DHOTE,Spouse,8786494501,YES,2025-06-27,NO
20240411,Marathi,DNYANESHWAR NADLIWALE,Brother,9947707683,YES,2024-04-02,NO
20240412,Marathi,,,,NO,,NO
20240413,Marathi,SAVITA INGLE,Daughter,6306200257,YES,2023-12-07,NO
20240414,Hindi,KISHOR KHANDARE,Brother,8975506464,NO,2026-08-24,NO
20240415,Marathi,KAVITA NADLIWALE,Spouse,9722156065,NO,2026-07-26,NO
20240416,Marathi,,,,NO,,NO
20240417,Hindi,KAVITA KALAMKAR,Son,8357140096,YES,2025-06-26,NO
20240418,Marathi,,,,NO,,NO
20240419,Marathi,VINOD SHAIKH,Daughter-in-law,9669411605,YES,2026-07-26,NO
20240420,Hindi,KISHOR WANKHADE,Spouse,9531144777,YES,2025-04-23,YES
20240421,Marathi,DNYANESHWAR MAHALLE,Daughter-in-law,8108886872,YES,2024-12-24,NO
20240422,Marathi,PURUSHOTTAM BHATKAR,Daughter,6269475520,YES,2024-09-20,NO
20240423,Marathi,,,,NO,,NO
20240424,Hindi,,,,NO,,NO
20240425,Marathi,SHOBHA NADLIWALE,Brother,9168504149,YES,2024-01-16,NO
20240426,Hindi,LATA OBEROI,Son,7701150491,YES,2025-04-28,NO
20240427,Marathi,,,,NO,,YES
20240428,Marathi,SANTOSH SARAP,Son,7374308667,NO,2024-03-07,NO
20240429,Marathi,VANDANA SHAMASKAR,Daughter-in-law,8611577862,NO,2023-10-19,NO
20240430,Marathi,USHA BORKAR,Son,7082132913,YES,2024-11-24,NO
20240431,Marathi,,,,NO,,NO
20240432,Marathi,ARUN SHAMASKAR,Spouse,6408808627,NO,2026-09-14,NO
20240433,Marathi,,,,NO,,NO
20240434,Hindi,RAJESH THAKARE,Son,7374956986,YES,2024-07-18,NO
20240435,Marathi,ANANT KALAMKAR,Brother,6015898162,YES,2025-06-25,NO
20240437,Marathi,MANGALA INGLE,Son,7776869100,YES,2024-11-10,NO
20240438,Marathi,,,,NO,,NO
20240439,Hindi,BALKRISHNA DESHMUKH,Spouse,7706915712,YES,2024-04-06,NO
20240440,Hindi,,,,NO,,NO
20240441,English,AMOL WANKHADE,Daughter,9931189798,YES,2024-12-30,NO
20240442,Marathi,,,,NO,,NO
20240443,Marathi,ARUN BORKAR,Spouse,9740794955,YES,2025-03-23,NO
20240444,Marathi,,,,NO,,NO
20240445,Marathi,CHHAYA DHOTE,Brother,7728500062,YES,2023-09-25,NO
20240446,Marathi,BHAGWAN KALAMKAR,Son,8899136038,YES,2025-06-28,NO
20240447,Hindi,DNYANESHWAR GADHAWALE,Spouse,6443774916,YES,2026-08-30,NO
20240448,Marathi,,,,NO,,NO
20240449,Marathi,,,,NO,,NO
20240450,Marathi,,,,NO,,NO
20240451,Marathi,ARCHANA THAKARE,Spouse,9099252501,YES,2025-06-25,NO
20240452,Marathi,MADHUKAR QURESHI,Son,9682511981,YES,2023-11-26,NO
20240453,Marathi,VAISHALI BORKAR,Spouse,6770282968,YES,2025-05-22,NO
20240454,Marathi,ARUN DAMODAR,Son,7812581840,YES,2025-03-01,NO
20240455,Hindi,,,,NO,,NO
20240456,Hindi,MADHURI KALAMKAR,Daughter,7946585042,YES,2026-07-30,NO
20240457,Marathi,PRALHAD KALAMKAR,Brother,9385711044,NO,2025-06-14,NO
20240458,Marathi,,,,NO,,NO
20240459,Marathi,,,,NO,,NO
20240460,Marathi,MADHUKAR KHANDARE,Son,6824029073,YES,2024-10-22,NO
20240461,Marathi,SHOBHA MAHALLE,Son,9929666862,YES,2024-06-23,NO
20240462,Marathi,BHAGWAN RAUT,Spouse,7104190692,YES,2024-02-28,NO
20240463,Marathi,USHA OBEROI,Daughter,8062132104,YES,2023-10-06,NO
20240464,Marathi,,,,NO,,NO
20240465,Hindi,,,,NO,,NO
20240466,Hindi,SUNANDA GADHAWALE,Sister,8062010152,YES,2023-12-11,NO
20240467,Marathi,VAISHALI OBEROI,Brother,8906806192,YES,2026-07-30,NO
20240468,Marathi,PURUSHOTTAM NADLIWALE,Brother,9041947291,YES,2026-07-13,YES
20240469,Marathi,USHA QURESHI,Spouse,6222505395,YES,2023-09-01,NO
20240470,Marathi,MAHENDRA BORKAR,Daughter,6792898583,NO,2025-01-13,NO
20240471,Marathi,KAVITA DHOTE,Spouse,6492233388,NO,2025-02-08,NO
20240472,Marathi,PRALHAD BHATKAR,Sister,7949722234,YES,2025-03-18,NO
20240473,Marathi,INDUMATI CHINCHMALATPURE,Sister,8274674004,YES,2023-10-17,NO
20240474,Hindi,RAJESH BHATKAR,Son,7066075054,YES,2024-09-27,NO
20240475,Marathi,NIRMALA DHOTE,Son,6003079125,YES,2026-07-25,NO
20240476,Marathi,KISHOR KHANDARE,Brother,9265109798,YES,2023-09-03,NO
20240477,English,VAISHALI RAUT,Daughter,9190090643,YES,2025-06-07,NO
20240478,Marathi,,,,NO,,NO
20240479,Marathi,INDUMATI DHOTE,Sister,7643330726,YES,2023-12-09,NO
20240480,Marathi,,,,NO,,NO
20240482,Marathi,,,,NO,,NO
20240483,Marathi,BHAGWAN GADHAWALE,Brother,8714658703,YES,2023-11-15,NO
20240484,Marathi,VAISHALI THAKARE,Daughter,8080465202,YES,2024-03-19,NO
20240485,Marathi,KAVITA THAKARE,Brother,8188546331,YES,2024-03-28,NO
20240487,Marathi,RAJESH PATHAN,Son,6996367325,NO,2024-03-15,NO
20240488,Hindi,KALPANA CHINCHMALATPURE,Brother,6209967698,YES,2024-05-16,NO
20240490,Hindi,MANGALA GADHAWALE,Sister,6289429241,YES,2023-08-20,NO
20240491,Marathi,MAHENDRA THAKARE,Spouse,8724892758,YES,2025-03-08,NO
20240492,Marathi,SULOCHANA SHAIKH,Spouse,8854009149,YES,2023-08-26,NO
20240493,Marathi,DNYANESHWAR CHINCHMALATPURE,Daughter-in-law,9938537188,YES,2024-07-19,NO
20240494,Marathi,KISHOR NADLIWALE,Spouse,9348265078,YES,2026-08-15,NO
20240495,Marathi,SULOCHANA GADHAWALE,Daughter-in-law,6917400930,YES,2023-10-05,NO
20240496,Marathi,ALKA OBEROI,Daughter,7913224136,NO,2024-07-24,NO
20240497,Hindi,,,,NO,,NO
20240498,Marathi,KAVITA RAUT,Daughter-in-law,6324237346,YES,2023-09-08,NO
20240499,Marathi,SUDHAKAR TAYADE,Sister,7720349206,YES,2024-02-22,NO
20240500,Marathi,,,,NO,,YES
20240501,Marathi,SHRIKANT WANKHADE,Sister,8277116582,NO,2023-08-26,NO
20240502,Hindi,ARUN INGLE,Son,6097457243,YES,2024-11-14,NO
20240503,Marathi,VAISHALI NADLIWALE,Sister,8371134949,YES,2024-05-10,NO
20240504,Marathi,LATA SARAP,Sister,8228959837,YES,2026-09-05,NO
20240505,Marathi,SHAILAJA GAWANDE,Brother,9267227824,YES,2024-04-26,NO
20240506,Hindi,PRALHAD TAYADE,Spouse,8539525507,YES,2024-01-02,NO
20240507,Marathi,VINOD GAWANDE,Son,6097686532,YES,2026-08-23,NO
20240508,Marathi,BALKRISHNA MAHALLE,Daughter,9322912621,YES,2025-07-11,NO
20240509,Marathi,,,,NO,,NO
20240510,Marathi,SUDHAKAR BHATKAR,Spouse,8774516835,YES,2025-01-02,NO
20240511,Marathi,,,,NO,,NO
20240512,Hindi,VAISHALI NADLIWALE,Spouse,7538967498,YES,2024-08-20,NO
20240513,Marathi,MADHURI DAMODAR,Spouse,6446879274,YES,2024-12-09,NO
20240514,Marathi,,,,NO,,NO
20240515,Marathi,ALKA DESHMUKH,Spouse,7699325352,YES,2024-07-14,NO
